Compañia,Videojuego,Año,Consola/PC,N° Trabajadores,Tamaño del juego (Aprox.),Original/Remaster/Remake/Expansión,Estética,Puntaje Medio Críticas (1-100)
Naughty Dog,Crash Bandicoot,1996,PS1,84,428 MB,Original ,Cartoon,80
Naughty Dog,Crash Bandicoot 2: Cortex Strikes Back,1997,PS1,122,71.19 MB,Original ,Cartoon,89
Naughty Dog,Crash Bandicoot 3: Warped,1998,PS1,204,76.77 MB,Original ,Cartoon,91
Naughty Dog,Crash Team Racing,1999,PS1,199,267.8 MB,Original ,Cartoon,88
Naughty Dog,Jak and Daxter: The Precursor´s Legacy,2001,PS2,277,977 MB,Original ,Cartoon,90
Naughty Dog,Jak II,2003,PS2,214,3.3 GB,Original ,Cartoon,87
Naughty Dog,Jak 3,2004,PS2,216,3.21 GB,Original ,Cartoon,84
Naughty Dog,Jak X: Combat Racing,2005,PS2,402,3.83 GB,Original ,Cartoon,76
Naughty Dog,Uncharted: Drake´s Fortune,2007,PS3,605,21 GB,Original ,Realista,88
Naughty Dog,Uncharted 2: Among Thieves,2009,PS3,969,19.5 GB,Original ,Realista,96
Naughty Dog,Uncharted 3: Drake´s Deception,2011,PS3,1385,43.5 GB,Original ,Realista,92
Naughty Dog,The Last of Us ,2013,PS3,1338,24 GB,Original ,Realista,95
Naughty Dog,The Last of Us Remastered,2014,PS4,1364,43.5 GB,Remaster,Realista,95
Naughty Dog,Uncharted: The Nathan Drake Collection,2015,PS4,504,46 GB,Remaster,Realista,86
Naughty Dog,Uncharted 4: A Thief´s End,2016,PS4,1689,55 GB,Original,Realista,93
Naughty Dog,Uncharted: The Lost Legacy,2017,PS4,1262,44.7 GB,Expansión,Realista,84
Naughty Dog,The Last of Us Part II,2020,PS4,2335,77.53 GB,Original,Realista,93
Naughty Dog,Uncharted: Legacy of Thieves Collection,2022,"PS5, PC",Sin datos,126 GB,Remaster,Realista,87
Naughty Dog,The Last of Us Part I (Remake del 1),2022,"PS5, PC",1877,100 GB,Remake,Realista,89
Naughty Dog,The Last of Us Part II Remastered,2024,"PS5, PC",1595,150 GB,Remaster,Realista,90
Naughty Dog,Intergalactic: The Heretic Prophet,2027,PS5,Sin datos,Sin datos,Original,Realista,Aún no lanzado
Sucker Punch,Rocket: Robot on Wheels,1999,Nintendo 64,70,8.09 MB,Original,Cartoon,82
Sucker Punch,Sly Cooper and the Thievius Raccoonus,2002,PS2,93,2.2 GB,Original,Cartoon,86
Sucker Punch,Sly 2: Band of Thieves,2004,PS2,214,2.1 GB,Original,Cartoon,88
Sucker Punch,Sly 3: Honor Among Thieves,2005,PS2,175,2.49 GB,Original,Cartoon,83
Sucker Punch,Infamous,2009,PS3,555,6.9 GB,Original,Realista,85
Sucker Punch,The Sly Collection,2010,PS3,195,19.55 GB,Remaster,Cartoon,85
Sucker Punch,Infamous 2,2011,PS3,940,13.93 GB,Original,Realista,83
